"AccessionNumber","Length","CreateDate","Source","Category","Family"
"MF311096","162614","17-MAY-2018","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LC375537","126270","29-MAR-2018","Antheraea yamamai nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LC375538","126094","29-MAR-2018","Samia cynthia nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LC375539","126324","29-MAR-2018","Antheraea proylei nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LC375540","126646","29-MAR-2018","Antheraea pernyi nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LC375541","125921","29-MAR-2018","Samia ricini nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LC375542","128240","29-MAR-2018","Samia ricini nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LC375543","128602","29-MAR-2018","Samia ricini nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MF143631","113971","14-FEB-2018","Oxyplax ochracea nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MF375894","148482","04-FEB-2018","Mythimna unipuncta nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KY550224","136141","24-JAN-2018","Spilosoma obliqua nucleopolyhedrosis virus","alpha, gamma and delta","Baculoviridae"
"MF974563","111334","20-DEC-2017","Cryptophlebia leucotreta granulovirus","beta","Baculoviridae"
"MF614691","119054","11-DEC-2017","Operophtera brumata nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KT957089","142900","06-OCT-2017","Cyclophragma undans nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KX859079","102726","30-SEP-2017","Erinnyis ello granulovirus","beta","Baculoviridae"
"KX859080","102685","30-SEP-2017","Erinnyis ello granulovirus","beta","Baculoviridae"
"KX859081","102764","30-SEP-2017","Erinnyis ello granulovirus","beta","Baculoviridae"
"KX859082","102745","30-SEP-2017","Erinnyis ello granulovirus","beta","Baculoviridae"
"KX859083","102741","30-SEP-2017","Erinnyis ello granulovirus","beta","Baculoviridae"
"KX859084","102616","30-SEP-2017","Erinnyis ello granulovirus","beta","Baculoviridae"
"LC150780","127459","05-AUG-2017","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LC194889","126593","04-APR-2017","Antheraea pernyi nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_033780","144673","21-FEB-2017","Betabaculovirus altermyunipunctae","beta","Baculoviridae"
"KX855660","144673","16-FEB-2017","Betabaculovirus altermyunipunctae","beta","Baculoviridae"
"KY249580","161727","16-FEB-2017","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_032255","112536","27-DEC-2016","Plodia interpunctella granulovirus (PiGV)","beta","Baculoviridae"
"KX151395","112536","20-DEC-2016","Plodia interpunctella granulovirus (PiGV)","beta","Baculoviridae"
"NC_031761","131855","10-NOV-2016","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KU752557","175360","18-OCT-2016","Trichoplusia ni granulovirus LBIV-12","beta","Baculoviridae"
"KX618634","159729","18-OCT-2016","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KU669289","140808","12-SEP-2016","Chrysodeixis includens nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KU669290","138869","12-SEP-2016","Chrysodeixis includens nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KU669291","140859","12-SEP-2016","Chrysodeixis includens nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KU669292","140787","12-SEP-2016","Chrysodeixis includens nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KU669293","139181","12-SEP-2016","Chrysodeixis includens nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KU669294","139116","12-SEP-2016","Chrysodeixis includens nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KU377538","157270","15-AUG-2016","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KU666536","119004","11-AUG-2016","Phthorimaea operculella granulovirus","beta","Baculoviridae"
"KU666537","100941","11-AUG-2016","Plutella xylostella granulovirus","beta","Baculoviridae"
"LF131928","133894","29-JUL-2016","Autographa californica nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LF131929","134417","29-JUL-2016","Plutella xylostella multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LF131930","131526","29-JUL-2016","Rachiplusia ou multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LF131931","128413","29-JUL-2016","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LF131932","111953","29-JUL-2016","Maruca vitrata nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LF131933","131160","29-JUL-2016","Choristoneura fumiferana DEF multiple nucleopolyhedrovirus (CfDEFNPV)","alpha, gamma and delta","Baculoviridae"
"LF131934","132239","29-JUL-2016","Anticarsia gemmatalis nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LF131935","118584","29-JUL-2016","Epiphyas postvittana nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LF131936","126629","29-JUL-2016","Antheraea pernyi nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LF131939","132959","29-JUL-2016","Hyphantria cunea nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KU697902","118582","29-JUN-2016","Autographa californica nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KU697903","138991","29-JUN-2016","Autographa californica nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_030240","128058","31-MAY-2016","Catopsilia pomona nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KU565883","128058","24-MAY-2016","Catopsilia pomona nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_029996","134272","29-APR-2016","Mocis latipes granulovirus","beta","Baculoviridae"
"NC_029997","105555","29-APR-2016","Urbanus proteus nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR011717","105555","22-APR-2016","Urbanus proteus nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR011718","134272","22-APR-2016","Mocis latipes granulovirus","beta","Baculoviridae"
"KU529791","100980","21-MAR-2016","Plutella xylostella granulovirus","beta","Baculoviridae"
"KU529792","101004","21-MAR-2016","Plutella xylostella granulovirus","beta","Baculoviridae"
"KU529793","100986","21-MAR-2016","Plutella xylostella granulovirus","beta","Baculoviridae"
"KU529794","100978","21-MAR-2016","Plutella xylostella granulovirus","beta","Baculoviridae"
"KU862282","161006","14-MAR-2016","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KT626570","164478","13-MAR-2016","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KT626571","162658","13-MAR-2016","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KT626572","161321","13-MAR-2016","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KP763670","120023","10-MAR-2016","Lonomia obliqua multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KU738896","130460","08-MAR-2016","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"KU738897","130443","08-MAR-2016","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"KU738898","130442","08-MAR-2016","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"KU738899","130435","08-MAR-2016","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"KU738900","130437","08-MAR-2016","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"KU738901","130437","08-MAR-2016","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"KU738902","130440","08-MAR-2016","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"KU738903","130436","08-MAR-2016","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"KU738904","130439","08-MAR-2016","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"NC_029304","111248","22-FEB-2016","Cnaphalocrocis medinalis granulovirus","beta","Baculoviridae"
"KU593505","111248","16-FEB-2016","Cnaphalocrocis medinalis granulovirus","beta","Baculoviridae"
"KP658210","112060","10-FEB-2016","Cnaphalocrocis medinalis granulovirus","beta","Baculoviridae"
"KR815455","131678","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR815456","131172","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR815457","130745","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR815458","130506","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR815459","130741","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR815460","132126","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR815461","131494","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR815462","131059","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR815463","131543","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR815464","132176","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR815465","131216","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR815466","131855","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR815467","130740","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR815468","130698","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR815469","132180","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR815470","130949","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR815471","132077","09-DEC-2015","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_028636","135952","08-DEC-2015","Sucra jujuba nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_028491","98392","03-DEC-2015","Diatraea saccharalis granulovirus","beta","Baculoviridae"
"KF891883","134239","30-NOV-2015","Spodoptera frugiperda multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KP296186","98392","30-NOV-2015","Diatraea saccharalis granulovirus","beta","Baculoviridae"
"KM986882","121268","30-OCT-2015","Buzura suppressaria nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KP747440","136761","18-OCT-2015","Dasychira pudibunda nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_027923","132831","07-OCT-2015","Perigonia lusca single nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KM609482","133926","30-SEP-2015","Autographa californica multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KT013224","136760","19-SEP-2015","Helicoverpa armigera nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KM596836","132831","15-SEP-2015","Perigonia lusca single nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KR091910","107439","29-JUL-2015","Clostera anastomosis granulovirus B","beta","Baculoviridae"
"KR584663","131557","01-JUL-2015","Agrotis segetum granulovirus","beta","Baculoviridae"
"KM596835","129694","30-JUN-2015","Helicoverpa zea single nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_026922","157977","28-APR-2015","Lambdina fiscellaria nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KJ701029","131966","22-APR-2015","Helicoverpa armigera nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KJ701030","130949","22-APR-2015","Helicoverpa armigera nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KJ701031","130992","22-APR-2015","Helicoverpa armigera nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KJ701032","132481","22-APR-2015","Helicoverpa armigera nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KJ701033","132265","22-APR-2015","Helicoverpa armigera nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KP752043","157977","22-APR-2015","Lambdina fiscellaria nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KP027546","164158","08-MAR-2015","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_026511","140913","26-FEB-2015","Spodoptera frugiperda granulovirus","beta","Baculoviridae"
"KM371112","140913","16-FEB-2015","Spodoptera frugiperda granulovirus","beta","Baculoviridae"
"NC_026430","125767","06-FEB-2015","Condylorrhiza vestigialis mutiple nucleopolyhedrovirus (CoveMNPV)","alpha, gamma and delta","Baculoviridae"
"KJ631623","125767","31-JAN-2015","Condylorrhiza vestigialis mutiple nucleopolyhedrovirus (CoveMNPV)","alpha, gamma and delta","Baculoviridae"
"NC_026268","139132","31-JAN-2015","Pseudoplusia includens SNPV IE (PsinSNPV-IE)","alpha, gamma and delta","Baculoviridae"
"KJ631622","139132","18-JAN-2015","Pseudoplusia includens SNPV IE (PsinSNPV-IE)","alpha, gamma and delta","Baculoviridae"
"KM226332","99507","04-JAN-2015","Adoxophyes orana granulovirus","beta","Baculoviridae"
"NC_025960","148981","23-DEC-2014","Agrotis segetum nucleopolyhedrovirus B (AgseNPV-B)","alpha, gamma and delta","Baculoviridae"
"KM102981","148981","14-DEC-2014","Agrotis segetum nucleopolyhedrovirus B (AgseNPV-B)","alpha, gamma and delta","Baculoviridae"
"KM386655","161712","22-NOV-2014","Lymantria dispar multiple nucleopolyhedrovirus (LdMNPV-3029)","alpha, gamma and delta","Baculoviridae"
"KM667940","133966","02-NOV-2014","Autographa californica nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KJ676450","135952","29-OCT-2014","Sucra jujuba nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KM217573","123193","27-OCT-2014","Cydia pomonella granulovirus","beta","Baculoviridae"
"KM217574","120816","27-OCT-2014","Cydia pomonella granulovirus","beta","Baculoviridae"
"KM217575","123529","27-OCT-2014","Cydia pomonella granulovirus","beta","Baculoviridae"
"KM217576","124269","27-OCT-2014","Cydia pomonella granulovirus","beta","Baculoviridae"
"KM217577","123858","27-OCT-2014","Cydia pomonella granulovirus","beta","Baculoviridae"
"NC_025257","102759","16-OCT-2014","Erinnyis ello granulovirus","beta","Baculoviridae"
"KJ186100","126861","13-OCT-2014","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KJ406702","102759","13-OCT-2014","Erinnyis ello granulovirus","beta","Baculoviridae"
"KJ871680","153890","30-AUG-2014","Mamestra brassicae multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_024625","151109","06-AUG-2014","Peridroma alphabaculovirus","alpha, gamma and delta","Baculoviridae"
"KJ909666","130442","29-JUL-2014","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"KJ922128","130440","29-JUL-2014","Helicoverpa armigera SNPV","alpha, gamma and delta","Baculoviridae"
"KM009991","151109","12-JUL-2014","Peridroma alphabaculovirus","alpha, gamma and delta","Baculoviridae"
"KC994902","131442","12-MAY-2014","Agrotis segetum granulovirus","beta","Baculoviridae"
"KJ004000","130890","26-MAR-2014","Helicoverpa zea single nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_023681","152710","11-MAR-2014","Mamestra brassicae multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_023442","120420","13-FEB-2014","Buzura suppressaria nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KF611977","120420","05-FEB-2014","Buzura suppressaria nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"HG425343","135653","06-JAN-2014","Spodoptera exigua multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"HG425344","134972","06-JAN-2014","Spodoptera exigua multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"HG425345","142709","06-JAN-2014","Spodoptera exigua multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"HG425346","135292","06-JAN-2014","Spodoptera exigua multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"HG425347","135556","06-JAN-2014","Spodoptera exigua multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"HG425348","135718","06-JAN-2014","Spodoptera exigua multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"HG425349","135395","06-JAN-2014","Spodoptera exigua multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"JX193905","141454","05-JAN-2014","Dendrolimus kikuchii nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_023177","124688","05-JAN-2014","Choristoneura murinana nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KF894742","124688","25-DEC-2013","Choristoneura murinana nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KF695050","163138","22-DEC-2013","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_022646","101818","04-NOV-2013","Clostera anastomosis granulovirus Henan","beta","Baculoviridae"
"KC179784","101818","21-OCT-2013","Clostera anastomosis granulovirus Henan","beta","Baculoviridae"
"KF306215","127901","05-OCT-2013","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KF306216","126406","05-OCT-2013","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KF306217","125437","05-OCT-2013","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"JX535500","149684","20-SEP-2013","Chrysodeixis chalcites SNPV TF1-A","alpha, gamma and delta","Baculoviridae"
"JX560539","150079","20-SEP-2013","Chrysodeixis chalcites nucleopolyhedrovirus (ChchNPV)","alpha, gamma and delta","Baculoviridae"
"JX560540","149080","20-SEP-2013","Chrysodeixis chalcites nucleopolyhedrovirus (ChchNPV)","alpha, gamma and delta","Baculoviridae"
"JX560541","149039","20-SEP-2013","Chrysodeixis chalcites nucleopolyhedrovirus (ChchNPV)","alpha, gamma and delta","Baculoviridae"
"JX560542","149624","20-SEP-2013","Chrysodeixis chalcites nucleopolyhedrovirus (ChchNPV)","alpha, gamma and delta","Baculoviridae"
"JX968491","108658","13-AUG-2013","Pieris rapae granulovirus","beta","Baculoviridae"
"KC960018","130145","07-AUG-2013","Ectropis obliqua nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_021923","140633","06-AUG-2013","Hemileuca sp. nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_021924","129052","05-AUG-2013","Choristoneura rosaceana nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KC961303","128446","28-JUL-2013","Choristoneura occidentalis alphabaculovirus","alpha, gamma and delta","Baculoviridae"
"KC961304","129052","28-JUL-2013","Choristoneura rosaceana nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KF158713","140633","28-JUL-2013","Hemileuca sp. nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KF022001","141651","21-JUL-2013","Autographa californica nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"JX454574","137998","15-FEB-2013","Spodoptera littoralis nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_019945","132978","02-JAN-2013","Thysanoplusia orichalcea nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"JQ991008","126125","30-DEC-2012","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"JQ991011","126843","30-DEC-2012","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"JX467702","132978","19-DEC-2012","Thysanoplusia orichalcea nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"JX404026","125376","09-DEC-2012","Philosamia cynthia ricini nucleopolyhedrovirus virus","alpha, gamma and delta","Baculoviridae"
"NC_018875","119082","18-OCT-2012","Epinotia aporema granulovirus","beta","Baculoviridae"
"JN408834","119082","17-OCT-2012","Epinotia aporema granulovirus","beta","Baculoviridae"
"JQ991010","126879","16-OCT-2012","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_018504","123876","28-AUG-2012","Apocheima cinerarium nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"JX138237","154451","22-AUG-2012","Mamestra brassicae multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"JQ071499","129646","28-JUL-2012","Bombyx mandarina nucleopolyhedrovirus S2","alpha, gamma and delta","Baculoviridae"
"JQ991009","127465","08-JUL-2012","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"JQ798165","152710","11-JUN-2012","Mamestra brassicae multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"JF899325","128034","17-APR-2012","Spodoptera frugiperda multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"JN584482","130992","30-AUG-2011","Helicoverpa armigera NPV strain Australia","alpha, gamma and delta","Baculoviridae"
"NC_015398","101487","27-MAY-2011","Clostera anachoreta granulovirus","beta","Baculoviridae"
"JA222069","133894","26-APR-2011","Autographa californica nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"JA223504","133894","26-APR-2011","Autographa californica nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"HQ116624","101487","11-APR-2011","Clostera anachoreta granulovirus","beta","Baculoviridae"
"HM595733","132954","30-JAN-2011","Spodoptera frugiperda multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"GU111736","108476","30-DEC-2010","Pieris rapae granulovirus","beta","Baculoviridae"
"FJ914221","123876","01-JUN-2010","Apocheima cinerarium nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_013953","156344","29-MAR-2010","Lymantria xylina nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"GQ202541","156344","20-MAR-2010","Lymantria xylina nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_013797","108592","11-FEB-2010","Betabaculovirus arrapae","beta","Baculoviridae"
"NC_013772","176677","30-JAN-2010","Pseudalatia unipuncta granulovirus","beta","Baculoviridae"
"GQ884143","108592","31-DEC-2009","Betabaculovirus arrapae","beta","Baculoviridae"
"FJ882854","126770","06-MAY-2009","Bombyx mandarina nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_012639","141291","30-APR-2009","Euproctis pseudoconspersa nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"FJ227128","141291","28-APR-2009","Euproctis pseudoconspersa nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_011616","148634","01-DEC-2008","Spodoptera litura nucleopolyhedrovirus II","alpha, gamma and delta","Baculoviridae"
"EU730893","154196","30-NOV-2008","Helicoverpa armigera multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"EU780426","148634","30-NOV-2008","Spodoptera litura nucleopolyhedrovirus II","alpha, gamma and delta","Baculoviridae"
"EU678671","176677","31-OCT-2008","Pseudalatia unipuncta granulovirus","beta","Baculoviridae"
"NC_011423","111724","28-OCT-2008","Adoxophyes orana nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"EU591746","111724","26-OCT-2008","Adoxophyes orana nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"AP010907","132425","10-OCT-2008","Helicoverpa armigera NPV NNg1","alpha, gamma and delta","Baculoviridae"
"EU839994","155122","08-OCT-2008","Agrotis ipsilon multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_011345","155122","08-OCT-2008","Agrotis ipsilon multiple nucleopolyhedrovirus (AgipMNPV)","alpha, gamma and delta","Baculoviridae"
"EU258200","132565","26-APR-2008","Spodoptera frugiperda multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_010276","156179","18-JAN-2008","Orgyia leucostigma nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"EU309041","156179","16-JAN-2008","Orgyia leucostigma nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_010240","169794","09-JAN-2008","Helicoverpa armigera granulovirus","beta","Baculoviridae"
"EU255577","169794","01-JAN-2008","Helicoverpa armigera granulovirus","beta","Baculoviridae"
"EF207986","126246","20-SEP-2007","Antheraea pernyi nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_009503","124121","30-MAY-2007","Spodoptera litura granulovirus","beta","Baculoviridae"
"NC_009011","131331","16-FEB-2007","Spodoptera frugiperda multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"EF035042","131331","10-JAN-2007","Spodoptera frugiperda multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_008725","111953","27-DEC-2006","Maruca vitrata nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"EF125867","111953","23-DEC-2006","Maruca vitrata nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_008586","131204","21-NOV-2006","Ectropis obliqua nucleopolyhedrovirus (EoNPV)","alpha, gamma and delta","Baculoviridae"
"DQ837165","131204","31-OCT-2006","Ectropis obliqua nucleopolyhedrovirus (EoNPV)","alpha, gamma and delta","Baculoviridae"
"NC_008520","132239","21-OCT-2006","Anticarsia gemmatalis nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"DQ813662","132239","01-OCT-2006","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_008348","168041","16-SEP-2006","Leucania separata nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"DQ457003","134417","01-SEP-2006","Plutella xylostella multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"AY394490","168041","29-AUG-2006","Leucania separata nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_008293","135454","24-AUG-2006","Clanis bilineata nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"DQ504428","135454","18-AUG-2006","Clanis bilineata nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_008252","84264","24-JUL-2006","Neodiprion abietis nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"DQ317692","84264","30-JUN-2006","Neodiprion abietis nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_008168","104710","19-JUN-2006","Choristoneura fumiferana granulovirus","beta","Baculoviridae"
"DQ333351","104710","12-JUN-2006","Choristoneura fumiferana granulovirus","beta","Baculoviridae"
"NC_008035","126629","16-MAY-2006","Antheraea pernyi nucleopolyhedrovirus (AnpeNPV)","alpha, gamma and delta","Baculoviridae"
